SK_ID_CURR,TARGET
100001,0.22
100005,0.32
100013,0.16
100028,0.18
100038,0.4
100042,0.34
100057,0.18
100065,0.28
100066,0.24
100067,0.26
100074,0.35
100090,0.21
100091,0.37
100092,0.29
100106,0.36
100107,0.35
100109,0.32
100117,0.3
100128,0.25
100141,0.29
100150,0.21
100168,0.22
100169,0.28
100170,0.22
100171,0.28
100172,0.39
100184,0.3
100187,0.31
100212,0.32
100222,0.27
100223,0.23
100232,0.28
100241,0.39
100245,0.2
100253,0.27
100256,0.29
100271,0.22
100278,0.35
100280,0.2
100306,0.37
100311,0.35
100312,0.25
100330,0.25
100331,0.25
100352,0.34
100358,0.29
100367,0.26
100382,0.39
100384,0.23
100385,0.32
100386,0.27
100399,0.14
100404,0.27
100416,0.2
100422,0.4
100426,0.25
100438,0.25
100444,0.32
100445,0.31
100446,0.32
100447,0.35
100450,0.3
100466,0.21
100483,0.22
100484,0.18
100494,0.22
100510,0.35
100512,0.29
100517,0.17
100548,0.2
100551,0.24
100552,0.29
100553,0.27
100561,0.39
100568,0.38
100569,0.23
100591,0.23
100592,0.19
100602,0.31
100607,0.21
100613,0.3
100617,0.38
100618,0.28
100622,0.27
100625,0.32
100677,0.3
100699,0.22
100702,0.43
100711,0.34
100729,0.3
100740,0.36
100744,0.38
100745,0.31
100747,0.31
100751,0.46
100752,0.31
100753,0.34
100754,0.39
100760,0.24
100762,0.21
100763,0.29
100765,0.28
100770,0.24
100772,0.23
100777,0.2
100791,0.2
100792,0.21
100797,0.25
100823,0.21
100826,0.31
100830,0.33
100836,0.33
100872,0.25
100910,0.28
100913,0.33
100918,0.25
100931,0.17
100952,0.32
100953,0.31
100965,0.37
100970,0.28
100982,0.38
100983,0.29
100984,0.32
100987,0.28
100997,0.2
100998,0.31
101002,0.34
101005,0.4
101008,0.41
101020,0.25
101021,0.39
101024,0.33
101025,0.39
101026,0.28
101031,0.26
101041,0.23
101051,0.23
101055,0.3
101056,0.46
101057,0.25
101064,0.34
101079,0.29
101087,0.22
101090,0.16
101092,0.33
101097,0.39
101099,0.15
101107,0.47
101118,0.35
101125,0.21
101126,0.19
101128,0.35
101136,0.28
101140,0.35
101149,0.25
101160,0.41
101169,0.4
101181,0.25
101186,0.3
101190,0.34
101193,0.34
101194,0.31
101198,0.32
101200,0.18
101204,0.31
101211,0.3
101213,0.34
101223,0.31
101225,0.31
101237,0.44
101243,0.27
101244,0.34
101258,0.35
101259,0.42
101268,0.29
101269,0.26
101271,0.38
101279,0.33
101281,0.34
101287,0.2
101292,0.28
101294,0.28
101296,0.28
101297,0.28
101299,0.24
101301,0.18
101305,0.36
101308,0.4
101318,0.21
101327,0.35
101329,0.2
101332,0.32
101337,0.19
101343,0.29
101345,0.2
101346,0.25
101353,0.14
101354,0.33
101355,0.39
101356,0.09
101362,0.25
101363,0.42
101365,0.23
101366,0.35
101367,0.38
101368,0.07
101374,0.3
101380,0.22
101383,0.13
101398,0.17
101399,0.46
101401,0.28
101412,0.31
101426,0.33
101427,0.38
101428,0.45
101429,0.32
101434,0.29
101440,0.3
101448,0.28
101449,0.26
101465,0.31
101467,0.16
101472,0.33
101478,0.37
101497,0.3
101504,0.3
101547,0.26
101548,0.27
101555,0.23
101570,0.24
101572,0.31
101578,0.28
101580,0.37
101588,0.42
101602,0.32
101610,0.31
101614,0.26
101616,0.36
101643,0.29
101644,0.23
101649,0.3
101650,0.25
101665,0.18
101667,0.35
101669,0.26
101674,0.26
101675,0.27
101678,0.27
101682,0.31
101686,0.28
101697,0.45
101700,0.43
101711,0.13
101714,0.19
101715,0.4
101728,0.29
101732,0.26
101757,0.41
101758,0.28
101759,0.36
101762,0.17
101764,0.3
101780,0.37
101784,0.15
101789,0.18
101816,0.36
101819,0.29
101827,0.15
101863,0.18
101867,0.34
101870,0.22
101873,0.45
101878,0.26
101879,0.24
101880,0.19
101887,0.31
101897,0.28
101901,0.27
101903,0.4
101920,0.18
101921,0.17
101922,0.25
101961,0.34
101962,0.29
101971,0.25
101976,0.41
102002,0.35
102005,0.17
102007,0.44
102017,0.3
102019,0.38
102029,0.2
102051,0.32
102052,0.14
102054,0.24
102062,0.31
102067,0.39
102068,0.19
102070,0.29
102090,0.23
102092,0.3
102099,0.42
102100,0.21
102112,0.32
102113,0.3
102122,0.44
102123,0.24
102125,0.2
102126,0.46
102146,0.3
102147,0.43
102151,0.26
102158,0.31
102159,0.16
102162,0.35
102165,0.22
102166,0.26
102174,0.18
102193,0.39
102198,0.15
102205,0.25
102206,0.29
102218,0.25
102221,0.19
102230,0.26
102238,0.27
102248,0.26
102252,0.38
102259,0.22
102262,0.33
102273,0.22
102286,0.37
102293,0.3
102294,0.22
102296,0.16
102298,0.35
102303,0.21
102309,0.36
102315,0.31
102340,0.14
102342,0.2
102344,0.3
102346,0.3
102347,0.25
102374,0.4
102380,0.29
102387,0.23
102393,0.28
102403,0.27
102413,0.16
102414,0.17
102415,0.29
102416,0.25
102439,0.32
102441,0.23
102443,0.18
102444,0.3
102445,0.44
102448,0.24
102449,0.34
102450,0.49
102456,0.22
102458,0.27
102459,0.23
102465,0.12
102470,0.24
102471,0.25
102475,0.28
102476,0.26
102506,0.17
102509,0.14
102519,0.25
102522,0.23
102545,0.22
102549,0.25
102562,0.22
102563,0.21
102568,0.3
102582,0.29
102592,0.26
102597,0.28
102605,0.22
102614,0.22
102617,0.27
102634,0.3
102652,0.2
102655,0.14
102671,0.2
102694,0.45
102701,0.27
102703,0.3
102704,0.22
102713,0.19
102720,0.45
102731,0.25
102733,0.23
102749,0.34
102755,0.23
102763,0.2
102770,0.27
102772,0.33
102799,0.38
102838,0.28
102854,0.21
102862,0.3
102863,0.21
102867,0.24
102868,0.31
102878,0.28
102887,0.2
102898,0.51
102904,0.24
102912,0.26
102919,0.15
102927,0.25
102932,0.24
102933,0.23
102935,0.21
102958,0.34
102969,0.28
102971,0.23
102975,0.21
102979,0.33
102982,0.14
102987,0.44
102989,0.31
102995,0.37
102996,0.28
103000,0.2
103001,0.33
103004,0.26
103010,0.21
103025,0.44
103029,0.21
103046,0.29
103056,0.31
103062,0.36
103078,0.18
103083,0.2
103092,0.24
103096,0.28
103097,0.44
103102,0.34
103112,0.28
103132,0.21
103144,0.2
103145,0.23
103146,0.23
103147,0.28
103158,0.21
103171,0.4
103173,0.15
103184,0.19
103195,0.43
103196,0.26
103206,0.33
103230,0.29
103231,0.29
103232,0.28
103239,0.27
103240,0.31
103243,0.26
103252,0.36
103258,0.24
103259,0.27
103279,0.23
103280,0.18
103286,0.25
103287,0.51
103290,0.26
103298,0.25
103315,0.15
103319,0.25
103334,0.37
103336,0.31
103345,0.16
103368,0.28
103371,0.34
103377,0.21
103398,0.2
103404,0.26
103408,0.27
103410,0.35
103418,0.24
103420,0.55
103432,0.27
103433,0.16
103436,0.17
103440,0.21
103453,0.27
103459,0.22
103460,0.35
103461,0.14
103462,0.26
103473,0.28
103474,0.25
103475,0.4
103478,0.36
103480,0.26
103484,0.22
103494,0.21
103513,0.3
103515,0.22
103516,0.47
103525,0.34
103541,0.36
103544,0.18
103562,0.49
103570,0.48
103572,0.37
103574,0.28
103575,0.3
103591,0.24
103594,0.28
103609,0.21
103613,0.25
103614,0.3
103615,0.2
103624,0.14
103625,0.49
103628,0.36
103629,0.29
103647,0.28
103648,0.31
103651,0.29
103658,0.22
103668,0.23
103669,0.24
103676,0.26
103682,0.18
103683,0.2
103689,0.21
103725,0.25
103733,0.31
103744,0.22
103762,0.37
103771,0.4
103773,0.19
103783,0.19
103784,0.3
103808,0.15
103812,0.34
103813,0.28
103814,0.27
103818,0.36
103824,0.27
103828,0.13
103830,0.39
103840,0.22
103842,0.25
103847,0.37
103848,0.23
103851,0.23
103854,0.4
103857,0.31
103861,0.19
103862,0.29
103865,0.3
103870,0.22
103876,0.34
103891,0.45
103908,0.27
103914,0.29
103918,0.32
103940,0.16
103963,0.38
103966,0.3
103971,0.39
103980,0.52
103984,0.25
103985,0.25
103998,0.37
104019,0.24
104026,0.27
104035,0.38
104044,0.33
104045,0.22
104047,0.39
104051,0.26
104058,0.4
104063,0.24
104066,0.35
104087,0.18
104089,0.29
104095,0.18
104098,0.46
104104,0.26
104110,0.37
104120,0.44
104122,0.14
104131,0.24
104132,0.29
104135,0.21
104136,0.25
104149,0.24
104150,0.27
104156,0.35
104165,0.24
104175,0.31
104179,0.29
104184,0.33
104206,0.19
104216,0.45
104230,0.43
104257,0.25
104272,0.28
104273,0.25
104278,0.24
104294,0.31
104295,0.24
104297,0.12
104298,0.21
104308,0.2
104318,0.22
104319,0.26
104320,0.31
104327,0.25
104334,0.29
104344,0.32
104350,0.23
104351,0.22
104354,0.16
104369,0.34
104376,0.21
104381,0.14
104384,0.31
104391,0.26
104394,0.24
104398,0.41
104402,0.21
104408,0.35
104409,0.16
104410,0.48
104412,0.23
104417,0.33
104424,0.31
104426,0.23
104435,0.34
104445,0.3
104458,0.18
104460,0.29
104466,0.19
104472,0.31
104473,0.31
104479,0.26
104480,0.2
104482,0.29
104499,0.16
104501,0.11
104502,0.21
104506,0.26
104510,0.16
104512,0.27
104520,0.34
104528,0.36
104529,0.19
104541,0.31
104578,0.18
104584,0.32
104588,0.31
104602,0.3
104610,0.22
104611,0.25
104618,0.23
104620,0.21
104622,0.21
104624,0.24
104625,0.25
104634,0.36
104639,0.36
104646,0.26
104647,0.18
104652,0.25
104670,0.33
104677,0.27
104685,0.26
