SK_ID_CURR,TARGET
100001,0.41
100005,0.48
100013,0.44
100028,0.36
100038,0.45
100042,0.55
100057,0.38
100065,0.41
100066,0.27
100067,0.38
100074,0.5
100090,0.36
100091,0.46
100092,0.47
100106,0.38
100107,0.44
100109,0.34
100117,0.4
100128,0.4
100141,0.3
100150,0.29
100168,0.44
100169,0.45
100170,0.45
100171,0.46
100172,0.46
100184,0.56
100187,0.48
100212,0.47
100222,0.56
100223,0.31
100232,0.45
100241,0.48
100245,0.3
100253,0.35
100256,0.44
100271,0.45
100278,0.47
100280,0.25
100306,0.46
100311,0.49
100312,0.33
100330,0.43
100331,0.5
100352,0.49
100358,0.4
100367,0.47
100382,0.53
100384,0.42
100385,0.5
100386,0.45
100399,0.31
100404,0.52
100416,0.43
100422,0.51
100426,0.35
100438,0.35
100444,0.48
100445,0.47
100446,0.36
100447,0.5
100450,0.48
100466,0.34
100483,0.47
100484,0.36
100494,0.48
100510,0.49
100512,0.54
100517,0.31
100548,0.47
100551,0.41
100552,0.54
100553,0.37
100561,0.41
100568,0.56
100569,0.43
100591,0.43
100592,0.44
100602,0.41
100607,0.52
100613,0.55
100617,0.51
100618,0.38
100622,0.39
100625,0.42
100677,0.52
100699,0.34
100702,0.46
100711,0.41
100729,0.5
100740,0.42
100744,0.45
100745,0.36
100747,0.43
100751,0.49
100752,0.56
100753,0.44
100754,0.52
100760,0.49
100762,0.53
100763,0.42
100765,0.41
100770,0.36
100772,0.34
100777,0.48
100791,0.32
100792,0.34
100797,0.36
100823,0.26
100826,0.43
100830,0.46
100836,0.45
100872,0.48
100910,0.42
100913,0.53
100918,0.39
100931,0.28
100952,0.4
100953,0.37
100965,0.52
100970,0.44
100982,0.51
100983,0.49
100984,0.34
100987,0.46
100997,0.49
100998,0.47
101002,0.37
101005,0.44
101008,0.54
101020,0.56
101021,0.41
101024,0.47
101025,0.46
101026,0.51
101031,0.42
101041,0.21
101051,0.24
101055,0.51
101056,0.42
101057,0.54
101064,0.41
101079,0.47
101087,0.43
101090,0.45
101092,0.52
101097,0.52
101099,0.47
101107,0.48
101118,0.51
101125,0.47
101126,0.35
101128,0.44
101136,0.39
101140,0.51
101149,0.5
101160,0.47
101169,0.5
101181,0.35
101186,0.37
101190,0.49
101193,0.45
101194,0.4
101198,0.51
101200,0.47
101204,0.54
101211,0.47
101213,0.49
101223,0.49
101225,0.37
101237,0.44
101243,0.44
101244,0.45
101258,0.5
101259,0.52
101268,0.44
101269,0.47
101271,0.44
101279,0.57
101281,0.5
101287,0.33
101292,0.55
101294,0.4
101296,0.45
101297,0.34
101299,0.38
101301,0.3
101305,0.5
101308,0.37
101318,0.46
101327,0.45
101329,0.35
101332,0.51
101337,0.38
101343,0.29
101345,0.35
101346,0.38
101353,0.36
101354,0.54
101355,0.42
101356,0.48
101362,0.33
101363,0.44
101365,0.39
101366,0.41
101367,0.52
101368,0.33
101374,0.47
101380,0.51
101383,0.55
101398,0.35
101399,0.57
101401,0.44
101412,0.39
101426,0.47
101427,0.54
101428,0.5
101429,0.53
101434,0.45
101440,0.38
101448,0.58
101449,0.35
101465,0.47
101467,0.51
101472,0.41
101478,0.51
101497,0.46
101504,0.47
101547,0.33
101548,0.53
101555,0.48
101570,0.32
101572,0.46
101578,0.39
101580,0.43
101588,0.48
101602,0.39
101610,0.45
101614,0.47
101616,0.44
101643,0.47
101644,0.5
101649,0.43
101650,0.43
101665,0.34
101667,0.46
101669,0.51
101674,0.44
101675,0.39
101678,0.48
101682,0.46
101686,0.55
101697,0.56
101700,0.45
101711,0.42
101714,0.33
101715,0.45
101728,0.5
101732,0.4
101757,0.39
101758,0.42
101759,0.43
101762,0.24
101764,0.44
101780,0.44
101784,0.29
101789,0.33
101816,0.55
101819,0.53
101827,0.27
