SK_ID_CURR,TARGET
100001,0.31
100005,0.34
100013,0.27
100028,0.22
100038,0.3
100042,0.21
100057,0.2
100065,0.34
100066,0.29
100067,0.39
100074,0.28
100090,0.28
100091,0.25
100092,0.36
100106,0.26
100107,0.31
100109,0.22
100117,0.26
100128,0.28
100141,0.24
100150,0.21
100168,0.33
100169,0.27
100170,0.15
100171,0.29
100172,0.34
100184,0.3
100187,0.36
100212,0.3
100222,0.25
100223,0.33
100232,0.27
100241,0.42
100245,0.26
100253,0.16
100256,0.35
100271,0.2
100278,0.42
100280,0.19
100306,0.44
100311,0.35
100312,0.26
100330,0.33
100331,0.18
100352,0.32
100358,0.27
100367,0.26
100382,0.4
100384,0.3
100385,0.3
100386,0.29
100399,0.22
100404,0.42
100416,0.25
100422,0.42
100426,0.27
100438,0.23
100444,0.35
100445,0.3
100446,0.37
100447,0.24
100450,0.31
100466,0.17
100483,0.21
100484,0.25
100494,0.26
100510,0.26
100512,0.23
100517,0.18
100548,0.26
100551,0.19
100552,0.36
100553,0.3
100561,0.26
100568,0.35
100569,0.23
100591,0.3
100592,0.16
100602,0.33
100607,0.28
100613,0.25
100617,0.28
100618,0.28
100622,0.31
100625,0.26
100677,0.29
100699,0.23
100702,0.46
100711,0.22
100729,0.32
100740,0.37
100744,0.29
100745,0.32
100747,0.23
100751,0.47
100752,0.27
100753,0.43
100754,0.28
100760,0.26
100762,0.19
100763,0.32
100765,0.26
100770,0.33
100772,0.23
100777,0.18
100791,0.24
100792,0.16
100797,0.19
100823,0.32
100826,0.13
100830,0.23
100836,0.4
100872,0.27
100910,0.25
100913,0.35
100918,0.28
100931,0.15
100952,0.27
100953,0.41
100965,0.38
100970,0.23
100982,0.36
100983,0.35
100984,0.22
100987,0.33
100997,0.27
100998,0.32
101002,0.36
101005,0.38
101008,0.4
101020,0.25
101021,0.26
101024,0.27
101025,0.35
101026,0.31
101031,0.17
101041,0.27
101051,0.24
101055,0.33
101056,0.48
101057,0.27
101064,0.24
101079,0.43
101087,0.28
101090,0.25
101092,0.4
101097,0.32
101099,0.21
101107,0.44
101118,0.29
101125,0.26
101126,0.26
101128,0.29
101136,0.34
101140,0.35
101149,0.23
101160,0.31
101169,0.37
101181,0.27
101186,0.35
101190,0.34
101193,0.37
101194,0.34
101198,0.25
101200,0.26
101204,0.24
101211,0.4
101213,0.36
101223,0.19
101225,0.29
101237,0.35
101243,0.29
101244,0.38
101258,0.29
101259,0.33
101268,0.3
101269,0.28
101271,0.35
101279,0.2
101281,0.43
101287,0.16
101292,0.2
101294,0.32
101296,0.29
101297,0.29
101299,0.22
101301,0.21
101305,0.35
101308,0.35
101318,0.25
101327,0.37
101329,0.18
101332,0.35
101337,0.26
101343,0.18
101345,0.21
101346,0.17
101353,0.19
101354,0.39
101355,0.37
101356,0.19
101362,0.15
101363,0.41
101365,0.25
101366,0.3
101367,0.31
101368,0.13
101374,0.39
101380,0.26
101383,0.17
101398,0.2
101399,0.38
101401,0.23
101412,0.32
101426,0.35
101427,0.41
101428,0.33
101429,0.32
101434,0.33
101440,0.31
101448,0.28
101449,0.25
101465,0.27
101467,0.18
101472,0.27
101478,0.31
101497,0.3
101504,0.27
101547,0.29
101548,0.34
101555,0.38
101570,0.29
101572,0.32
101578,0.23
101580,0.36
101588,0.33
101602,0.19
101610,0.34
101614,0.23
101616,0.29
101643,0.36
101644,0.3
101649,0.24
101650,0.26
101665,0.17
101667,0.18
101669,0.13
101674,0.35
101675,0.22
101678,0.33
101682,0.29
101686,0.2
101697,0.36
101700,0.44
101711,0.19
101714,0.22
101715,0.41
101728,0.22
101732,0.24
101757,0.34
101758,0.2
101759,0.28
101762,0.21
101764,0.27
101780,0.37
101784,0.22
101789,0.21
101816,0.37
101819,0.32
101827,0.14
101863,0.21
101867,0.36
101870,0.24
101873,0.37
101878,0.22
101879,0.33
101880,0.22
101887,0.23
101897,0.24
101901,0.28
101903,0.31
101920,0.21
101921,0.27
101922,0.28
101961,0.35
101962,0.23
101971,0.18
101976,0.41
102002,0.24
102005,0.19
102007,0.49
102017,0.26
102019,0.43
102029,0.27
102051,0.32
102052,0.18
102054,0.23
102062,0.33
102067,0.32
102068,0.28
102070,0.26
102090,0.24
102092,0.27
102099,0.38
102100,0.18
102112,0.27
102113,0.36
102122,0.41
102123,0.25
102125,0.22
102126,0.42
102146,0.21
102147,0.3
102151,0.32
102158,0.23
102159,0.2
102162,0.4
102165,0.24
102166,0.26
102174,0.15
102193,0.34
102198,0.24
102205,0.27
102206,0.26
102218,0.34
102221,0.22
102230,0.31
102238,0.33
102248,0.22
102252,0.36
102259,0.26
102262,0.34
102273,0.17
102286,0.36
102293,0.25
102294,0.19
102296,0.28
102298,0.38
102303,0.16
102309,0.42
102315,0.27
102340,0.22
102342,0.24
102344,0.34
102346,0.3
102347,0.27
102374,0.32
102380,0.31
102387,0.22
102393,0.39
102403,0.19
102413,0.19
102414,0.22
102415,0.18
102416,0.28
102439,0.27
102441,0.26
102443,0.17
102444,0.27
102445,0.29
102448,0.23
102449,0.22
102450,0.34
102456,0.24
102458,0.28
102459,0.25
102465,0.2
102470,0.4
102471,0.24
102475,0.27
102476,0.38
102506,0.26
102509,0.16
102519,0.21
102522,0.21
102545,0.25
102549,0.16
102562,0.32
102563,0.29
102568,0.36
102582,0.28
102592,0.28
102597,0.41
102605,0.25
102614,0.19
102617,0.26
102634,0.33
102652,0.25
102655,0.22
102671,0.26
102694,0.41
102701,0.3
102703,0.21
102704,0.18
102713,0.16
102720,0.35
102731,0.19
102733,0.28
102749,0.26
102755,0.28
102763,0.21
102770,0.23
102772,0.29
102799,0.32
102838,0.24
102854,0.21
102862,0.29
102863,0.29
102867,0.19
102868,0.25
102878,0.24
102887,0.24
102898,0.35
102904,0.28
102912,0.36
102919,0.19
102927,0.28
102932,0.29
102933,0.29
102935,0.21
102958,0.36
102969,0.3
102971,0.24
102975,0.24
102979,0.36
102982,0.18
102987,0.31
102989,0.33
102995,0.23
102996,0.14
103000,0.22
103001,0.31
103004,0.32
103010,0.19
103025,0.22
103029,0.26
103046,0.3
103056,0.31
103062,0.39
103078,0.26
103083,0.18
103092,0.26
103096,0.25
103097,0.37
103102,0.39
103112,0.29
103132,0.24
103144,0.34
103145,0.28
103146,0.29
103147,0.29
103158,0.15
103171,0.32
103173,0.22
103184,0.23
103195,0.27
103196,0.3
103206,0.32
103230,0.31
103231,0.29
103232,0.29
103239,0.3
103240,0.35
103243,0.33
103252,0.33
103258,0.31
103259,0.34
103279,0.27
103280,0.19
103286,0.24
103287,0.48
103290,0.25
103298,0.27
103315,0.16
103319,0.24
103334,0.32
103336,0.38
103345,0.25
103368,0.28
103371,0.32
103377,0.17
103398,0.25
103404,0.25
103408,0.31
103410,0.31
103418,0.25
103420,0.4
103432,0.3
103433,0.24
103436,0.26
103440,0.27
103453,0.27
103459,0.19
103460,0.26
103461,0.18
103462,0.34
103473,0.26
103474,0.18
103475,0.35
103478,0.38
103480,0.31
103484,0.2
103494,0.32
103513,0.35
103515,0.2
103516,0.39
103525,0.28
103541,0.33
103544,0.23
103562,0.38
103570,0.32
103572,0.39
103574,0.33
103575,0.35
103591,0.26
103594,0.28
103609,0.29
103613,0.33
103614,0.31
103615,0.18
103624,0.26
103625,0.42
103628,0.38
103629,0.26
103647,0.23
103648,0.29
103651,0.35
103658,0.28
103668,0.22
103669,0.17
103676,0.29
103682,0.31
103683,0.22
103689,0.19
103725,0.33
103733,0.21
103744,0.27
103762,0.3
103771,0.39
103773,0.28
103783,0.26
103784,0.24
103808,0.22
103812,0.28
103813,0.31
103814,0.25
103818,0.39
103824,0.25
103828,0.18
103830,0.22
103840,0.25
103842,0.35
103847,0.29
103848,0.13
103851,0.17
103854,0.33
103857,0.45
103861,0.18
103862,0.33
103865,0.3
103870,0.21
103876,0.27
103891,0.43
103908,0.29
103914,0.33
103918,0.3
103940,0.32
103963,0.31
103966,0.37
103971,0.39
103980,0.3
103984,0.33
103985,0.25
103998,0.33
104019,0.24
104026,0.26
104035,0.46
104044,0.25
104045,0.23
104047,0.36
104051,0.27
104058,0.17
104063,0.26
104066,0.39
104087,0.15
104089,0.15
104095,0.25
104098,0.41
104104,0.2
104110,0.41
104120,0.34
104122,0.18
104131,0.22
104132,0.23
104135,0.28
104136,0.37
104149,0.32
104150,0.31
104156,0.34
104165,0.32
104175,0.27
104179,0.2
104184,0.38
104206,0.22
104216,0.43
104230,0.32
104257,0.27
104272,0.23
104273,0.37
104278,0.23
104294,0.23
104295,0.22
104297,0.17
104298,0.24
104308,0.26
104318,0.23
104319,0.21
104320,0.29
104327,0.31
104334,0.18
104344,0.34
104350,0.36
104351,0.28
104354,0.3
104369,0.28
104376,0.17
104381,0.27
104384,0.25
104391,0.23
104394,0.27
104398,0.37
104402,0.23
104408,0.24
104409,0.25
104410,0.43
104412,0.32
104417,0.28
104424,0.28
104426,0.22
104435,0.29
104445,0.24
104458,0.24
104460,0.26
104466,0.2
104472,0.26
104473,0.31
104479,0.23
104480,0.18
104482,0.31
104499,0.19
104501,0.2
104502,0.3
104506,0.28
104510,0.16
104512,0.28
104520,0.4
104528,0.37
104529,0.17
104541,0.27
104578,0.35
104584,0.34
104588,0.29
104602,0.32
104610,0.27
104611,0.36
104618,0.27
104620,0.24
104622,0.2
104624,0.22
104625,0.33
104634,0.27
104639,0.29
104646,0.3
104647,0.25
104652,0.2
104670,0.27
104677,0.26
104685,0.3
104691,0.3
104696,0.27
104699,0.24
104712,0.31
104714,0.3
104717,0.4
104718,0.26
104740,0.26
104741,0.17
104743,0.14
104744,0.42
104747,0.34
104767,0.29
104772,0.34
104776,0.48
104779,0.17
104814,0.24
104815,0.19
104830,0.3
104831,0.36
104833,0.31
104839,0.23
104840,0.34
104860,0.35
104861,0.36
104866,0.23
104870,0.25
104877,0.19
104878,0.19
104879,0.24
104880,0.22
104899,0.34
104906,0.22
104907,0.33
104913,0.42
104916,0.3
104921,0.28
104930,0.2
104931,0.27
104936,0.21
104937,0.27
104942,0.27
104943,0.23
104969,0.46
104972,0.31
104988,0.35
105013,0.34
105015,0.3
105019,0.22
105027,0.36
105030,0.3
105035,0.44
105041,0.3
105051,0.44
105056,0.31
105067,0.44
105071,0.2
105072,0.14
105074,0.29
105091,0.27
105101,0.25
105103,0.24
105134,0.24
105139,0.27
105142,0.34
105146,0.3
105163,0.2
105168,0.26
105172,0.21
105176,0.4
105195,0.28
105196,0.36
105197,0.22
105203,0.2
105223,0.35
105227,0.35
105228,0.27
105230,0.37
105231,0.34
105239,0.17
105242,0.25
105244,0.21
105245,0.24
105248,0.23
105249,0.29
105266,0.26
105271,0.42
105276,0.32
105282,0.23
105292,0.16
105297,0.17
105332,0.37
105333,0.26
105343,0.3
105344,0.35
105345,0.31
105357,0.27
105359,0.23
105366,0.23
105367,0.29
105370,0.25
105377,0.3
105390,0.21
105399,0.24
105403,0.31
105404,0.24
105414,0.22
105417,0.33
105425,0.35
105452,0.35
105454,0.32
105456,0.3
105470,0.22
105471,0.15
105483,0.25
105493,0.28
105508,0.32
105514,0.38
105515,0.25
105528,0.46
105529,0.34
105531,0.2
105532,0.29
105558,0.23
105574,0.26
105578,0.2
105584,0.35
105595,0.37
105617,0.34
105618,0.39
105621,0.16
105625,0.27
105629,0.25
105630,0.19
105634,0.31
105635,0.21
105641,0.29
105647,0.35
105648,0.3
105655,0.29
105657,0.2
105672,0.35
105678,0.29
105682,0.29
105691,0.3
105692,0.21
105706,0.34
105712,0.26
105720,0.32
105734,0.22
105735,0.39
105736,0.3
105737,0.18
105738,0.31
105740,0.29
105744,0.2
105747,0.3
105749,0.33
105754,0.25
105758,0.31
105760,0.36
105767,0.29
105784,0.26
105791,0.19
105802,0.4
105807,0.38
105809,0.27
105816,0.3
105817,0.32
105824,0.29
105832,0.27
105856,0.2
105865,0.25
105899,0.41
105906,0.2
105916,0.3
105923,0.27
105937,0.24
105965,0.14
105966,0.22
105968,0.24
105973,0.26
105976,0.3
105978,0.31
105979,0.27
105991,0.3
105998,0.21
105999,0.3
106000,0.39
106001,0.33
106010,0.26
106011,0.33
106013,0.42
106015,0.21
106026,0.19
106032,0.24
106035,0.39
106040,0.21
106041,0.32
106044,0.16
106053,0.38
106054,0.19
106065,0.37
106081,0.25
106083,0.22
106087,0.31
106090,0.35
106101,0.17
106102,0.32
106109,0.22
106116,0.27
106150,0.19
106155,0.34
106166,0.37
106176,0.31
106189,0.31
106199,0.33
106205,0.32
106206,0.23
106211,0.28
106214,0.34
106216,0.28
106217,0.31
106225,0.19
106249,0.25
106256,0.25
106258,0.25
106261,0.26
106262,0.43
106264,0.26
106271,0.21
106276,0.26
106277,0.25
106286,0.24
106293,0.22
106295,0.27
106296,0.24
106297,0.32
106298,0.23
106311,0.11
106314,0.33
106320,0.29
106334,0.29
106346,0.25
106347,0.23
106349,0.26
106354,0.27
106360,0.2
106373,0.38
106377,0.36
106386,0.27
106387,0.28
106391,0.25
106401,0.45
106411,0.38
106413,0.39
106426,0.31
106427,0.25
106428,0.36
106434,0.17
106438,0.25
106440,0.3
106441,0.19
106452,0.29
106453,0.33
106454,0.2
106457,0.3
106484,0.25
106488,0.26
106491,0.46
106514,0.35
106527,0.27
106528,0.23
106529,0.22
106534,0.37
106550,0.41
106577,0.24
106585,0.21
106590,0.27
106607,0.26
106610,0.3
106611,0.32
106612,0.24
106624,0.18
106631,0.18
106647,0.4
106660,0.34
106674,0.23
106687,0.25
106712,0.24
106713,0.26
106717,0.24
106720,0.33
106721,0.33
106724,0.26
106735,0.29
106739,0.19
106740,0.39
106754,0.34
106760,0.43
106761,0.25
106784,0.28
106787,0.28
106797,0.17
106798,0.3
106802,0.32
106803,0.26
106804,0.33
106805,0.28
106810,0.32
106812,0.22
106813,0.23
106817,0.27
106822,0.22
106823,0.14
106827,0.21
106841,0.23
106851,0.41
106852,0.17
106853,0.35
106854,0.4
106861,0.29
106873,0.34
106877,0.2
106878,0.17
106881,0.25
106900,0.27
106906,0.25
106907,0.35
106914,0.25
106916,0.2
106924,0.29
106931,0.34
106936,0.29
106937,0.37
106938,0.23
106939,0.34
106943,0.22
106944,0.45
106967,0.4
106980,0.3
106986,0.28
106987,0.38
106990,0.22
107013,0.24
107023,0.26
107033,0.2
107037,0.25
107048,0.3
107071,0.24
107081,0.28
107113,0.29
107130,0.26
107131,0.2
107145,0.14
107156,0.27
107219,0.27
107222,0.23
107223,0.32
107232,0.38
107245,0.28
107246,0.39
107247,0.3
107256,0.2
107259,0.11
107260,0.24
107279,0.28
107280,0.29
107281,0.21
107285,0.29
107329,0.32
107337,0.29
107349,0.24
107350,0.25
107351,0.12
107359,0.31
107391,0.2
107394,0.25
107395,0.21
107406,0.32
107416,0.35
107417,0.26
107418,0.24
107419,0.19
107444,0.25
107445,0.22
107446,0.3
107460,0.38
107470,0.3
107475,0.26
107520,0.26
107526,0.2
107527,0.17
107530,0.25
107532,0.3
107534,0.22
107535,0.38
107554,0.33
107556,0.23
107559,0.24
107561,0.18
107564,0.34
107566,0.25
107571,0.24
107590,0.42
107602,0.3
107625,0.32
107626,0.5
107635,0.24
107636,0.27
107645,0.28
107652,0.27
107655,0.27
107668,0.27
107670,0.25
107677,0.18
107680,0.35
107683,0.35
107684,0.22
107691,0.21
107692,0.26
107703,0.27
107709,0.19
107710,0.33
107721,0.37
107725,0.29
107727,0.29
107739,0.23
107740,0.35
107741,0.28
107747,0.32
107765,0.45
107768,0.22
107775,0.29
107782,0.39
107790,0.23
107801,0.23
107807,0.21
107811,0.32
107817,0.3
107826,0.25
107838,0.26
107839,0.25
107843,0.36
107847,0.29
107849,0.37
107850,0.26
107867,0.38
107871,0.32
107908,0.27
107913,0.29
107927,0.21
107931,0.22
107955,0.22
107962,0.32
107977,0.26
107978,0.25
107993,0.24
108010,0.25
108016,0.28
108018,0.39
108027,0.27
108045,0.39
108069,0.43
108082,0.26
108089,0.23
108092,0.27
108106,0.17
108112,0.26
108120,0.31
108122,0.38
108135,0.36
108170,0.24
108171,0.31
108177,0.2
108180,0.27
108183,0.2
108184,0.2
108185,0.32
108192,0.27
108195,0.18
108196,0.32
108218,0.26
108219,0.33
108243,0.31
108249,0.22
108251,0.33
108274,0.22
108280,0.39
108289,0.11
108292,0.15
108295,0.3
108327,0.25
108332,0.27
108346,0.23
108349,0.28
108353,0.35
108362,0.24
108363,0.23
108377,0.42
108378,0.39
108381,0.23
108383,0.38
108390,0.29
108407,0.17
108408,0.24
108411,0.19
108412,0.22
108419,0.25
108436,0.29
108437,0.33
108438,0.3
108441,0.23
108448,0.21
108449,0.24
108466,0.26
108467,0.21
108473,0.21
108474,0.24
108476,0.22
108479,0.19
108486,0.24
108493,0.17
108501,0.3
108506,0.31
108510,0.24
108511,0.28
108514,0.26
108517,0.14
108519,0.29
108522,0.14
108548,0.3
108554,0.27
108555,0.3
108559,0.33
108562,0.25
108571,0.27
108572,0.2
108579,0.28
108583,0.18
108584,0.19
108592,0.26
108602,0.18
108609,0.25
108613,0.3
108616,0.35
108618,0.36
108620,0.11
108643,0.14
108649,0.25
108654,0.39
108655,0.22
108656,0.2
108667,0.37
108668,0.29
108682,0.31
108690,0.35
108691,0.29
108692,0.28
108695,0.34
108699,0.35
108710,0.22
108718,0.26
108739,0.4
108740,0.23
108741,0.18
108742,0.36
108763,0.21
108767,0.29
108769,0.32
108779,0.33
108788,0.27
108801,0.24
108802,0.21
108810,0.28
108811,0.26
108813,0.27
108814,0.25
108825,0.23
108826,0.36
108830,0.35
108834,0.25
108852,0.23
108887,0.29
108901,0.29
108908,0.25
108910,0.28
108920,0.28
108922,0.22
108929,0.33
108930,0.35
108937,0.51
108938,0.23
108943,0.28
108948,0.28
108953,0.24
108956,0.26
108965,0.32
108985,0.28
108986,0.41
108987,0.24
108990,0.16
108991,0.2
108993,0.35
109000,0.38
109001,0.31
109012,0.43
109014,0.28
109015,0.28
109021,0.24
109037,0.26
109042,0.41
109044,0.41
109046,0.53
109064,0.19
109084,0.23
109086,0.26
109092,0.13
109093,0.43
109100,0.3
109101,0.23
109110,0.38
109114,0.28
109126,0.39
109152,0.22
109162,0.23
109167,0.24
109168,0.37
109169,0.24
109179,0.31
109184,0.26
109191,0.31
109192,0.27
109193,0.25
109196,0.24
109206,0.27
109210,0.22
109244,0.35
109249,0.2
109273,0.2
109276,0.41
109281,0.22
109287,0.18
109297,0.31
109298,0.26
109306,0.22
109309,0.34
109321,0.32
109328,0.35
109336,0.24
109342,0.22
109346,0.2
109347,0.22
109348,0.33
109362,0.32
109363,0.16
109367,0.2
109370,0.29
109393,0.36
109405,0.28
109413,0.21
109414,0.33
109421,0.22
109427,0.29
109428,0.24
109429,0.31
109437,0.25
109443,0.23
109461,0.27
109468,0.26
109469,0.16
109471,0.27
109479,0.22
109484,0.23
109501,0.28
109505,0.34
109535,0.21
109539,0.23
109544,0.29
109545,0.24
109551,0.26
109553,0.24
109555,0.22
109561,0.19
109580,0.31
109583,0.37
109593,0.37
109604,0.39
109620,0.26
109635,0.22
109637,0.48
109638,0.23
109642,0.39
109649,0.17
109652,0.3
109656,0.15
109663,0.31
109696,0.39
109700,0.4
109709,0.27
109735,0.15
109740,0.22
109741,0.24
109749,0.27
109764,0.27
109771,0.3
109772,0.2
109773,0.44
109798,0.23
109802,0.33
109804,0.23
109813,0.13
109818,0.35
109848,0.26
109850,0.33
109851,0.28
109855,0.19
109871,0.42
109877,0.27
109883,0.2
109886,0.2
109905,0.25
109936,0.4
109950,0.26
109958,0.3
109959,0.27
109969,0.18
109971,0.21
109984,0.26
109985,0.38
109988,0.16
109992,0.22
110005,0.32
110009,0.22
110011,0.45
110014,0.17
110026,0.25
110042,0.27
110058,0.25
110069,0.27
110080,0.23
110087,0.25
110091,0.29
110094,0.19
110098,0.25
110105,0.36
110117,0.27
110136,0.29
110138,0.34
110149,0.29
110164,0.35
110202,0.3
110212,0.21
110226,0.16
110236,0.19
110249,0.21
110257,0.24
110258,0.31
110277,0.26
110282,0.22
110284,0.16
110286,0.26
110289,0.18
110304,0.31
110319,0.32
110324,0.2
110326,0.34
110335,0.25
110337,0.36
110338,0.25
110343,0.27
110345,0.2
110347,0.4
